date, pm25, pm10, o3, no2, so2, co
2021/5/18, 31, 11, 24, 5, , 3
2021/5/19, 33, 11, 20, 6, , 3
2021/5/20, 30, 9, 19, 5, 1, 3
2021/5/21, 24, 8, 23, 6, , 3
2021/5/22, 23, 6, 23, 8, , 3
2021/5/23, 17, 8, 15, 13, , 3
2021/5/24, 21, 9, 13, 17, 1, 3
2021/5/25, 25, 8, 20, 9, , 3
2021/5/26, 21, 8, 23, 6, , 3
2021/5/27, 19, 9, 19, 7, 1, 3
2021/5/28, 18, 9, 22, 4, , 2
2021/5/29, 22, 13, 26, 3, , 3
2021/5/30, 31, 14, 24, 9, 1, 3
2021/5/31, 41, 6, 17, 14, 1, 3
2021/6/1, 19, 10, 14, 14, 1, 3
2021/6/2, 25, 19, 24, 11, 1, 3
